EventId,EventTemplate,Occurrences
E20,LDAP: Built with OpenLDAP LDAP SDK,53
E23,LDAP: SSL support unavailable,53
E18,suEXEC mechanism enabled (wrapper: <*>),8
E4,Digest: generating secret for digest authentication ...,45
E29,Digest: done,45
E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)",180
E21,config.update(): Can't create <*>,180
E2,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.,45
E25,mod_security/<*> configured,45
E8,Apache/<*> configured -- resuming normal operations,45
E15,jk2_init() Found child <*> in scoreboard slot <*>,6335
E27,workerEnv.init() ok <*>,5708
E28,mod_jk child init <*> <*>,1259
E11,[client <*>] Directory index forbidden by rule: <*>,6745
E24,[client <*>] File does not exist: <*>,20861
E14,jk2_init() Can't find child <*> in scoreboard,971
E13,[client <*>] script not found or unable to stat: <*>,3301
E26,mod_jk2 Shutting down,1336
E12,"Graceful restart requested, doing restart",37
E6,[client <*>] request failed: URI too long (longer than <*>),39
E17,mod_jk child workerEnv in error state <*>,4349
E5,[client <*>] request failed: error reading the headers,14
E9,[client <*>] attempt to invoke directory as script: <*>,92
E19,[client <*>] Attempt to serve directory: <*>,1
E7,"child process <*> still did not exit, sending a SIGTERM",168
E1,"[client <*>] mod_security: Access denied with code <*>. Error reading POST data, error_code=<*> [hostname <*>] [uri <*>]",1
E16,uriMap.mapUri() uri must start with /,27
E22,[client <*>] Invalid URI in request <*> <*>,27
E3,[client <*>] client sent <*> request without hostname (see RFC2616 section <*>): /,8
