LineId,Content,EventId,EventTemplate
1,restart.,E332,restart.
2,syslogd startup succeeded,E283,<*> startup succeeded
3,klogd startup succeeded,E283,<*> startup succeeded
4,"klogd 1.4.1, log source = /proc/kmsg started.",E187,"klogd <*>, log source = <*> started."
5,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E57,Linux version <*> (<*>) (gcc version <*> (Red Hat Linux <*>)) <*>
6,BIOS-provided physical RAM map:,E128,BIOS-provided physical RAM map:
7,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E244,BIOS-e820: <*> - <*> (usable)
8,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E219,BIOS-e820: <*> - <*> (reserved)
9,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),E244,BIOS-e820: <*> - <*> (usable)
10,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),E219,BIOS-e820: <*> - <*> (reserved)
11,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),E219,BIOS-e820: <*> - <*> (reserved)
12,126MB LOWMEM available.,E282,<*> LOWMEM available.
13,zapping low mappings.,E236,zapping low mappings.
14,On node 0 totalpages: 32430,E267,On node <*> totalpages: <*>
15,"DMA zone: 4096 pages, LIFO batch:1",E188,"DMA zone: <*> pages, LIFO batch:<*>"
16,"Normal zone: 28334 pages, LIFO batch:6",E153,"Normal zone: <*> pages, LIFO batch:<*>"
17,"HighMem zone: 0 pages, LIFO batch:1",E136,"HighMem zone: <*> pages, LIFO batch:<*>"
18,DMI 2.3 present.,E317,DMI <*> present.
19,ACPI disabled because your bios is from 2000 and too old,E38,ACPI disabled because your bios is from <*> and too old
20,You can enable it with acpi=force,E257,You can enable it with <*>
21,Built 1 zonelists,E298,Built <*> zonelists
22,irqbalance startup succeeded,E283,<*> startup succeeded
23,Kernel command line: ro root=LABEL=/ rhgb quiet,E87,Kernel command line: ro root=<*> rhgb quiet
24,mapped 4G/4G trampoline to ffff3000.,E245,mapped <*> trampoline to <*>.
25,Initializing CPU#0,E284,Initializing CPU#<*>
26,portmap startup succeeded,E283,<*> startup succeeded
27,"CPU 0 irqstacks, hard=02345000 soft=02344000",E198,"CPU <*> irqstacks, hard=<*> soft=<*>"
28,PID hash table entries: 512 (order 9: 4096 bytes),E96,PID hash table entries: <*> (order <*>: <*> bytes)
29,Detected 731.214 MHz processor.,E215,Detected <*> MHz processor.
30,Using tsc for high-res timesource,E124,Using tsc for high-res timesource
31,Console: colour VGA+ 80x25,E297,Console: colour <*>
32,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",E13,"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
33,Calibrating delay loop... 1441.79 BogoMIPS,E111,Calibrating delay loop... <*> BogoMIPS
34,Security Scaffold v1.0.0 initialized,E148,Security Scaffold <*> initialized
35,SELinux: Initializing.,E212,SELinux: Initializing.
36,SELinux: Starting in permissive mode,E98,SELinux: Starting in permissive mode
37,"There is already a security framework initialized, register_security failed.",E2,"There is already a security framework initialized, register_security failed."
38,Failure registering capabilities with the kernel,E33,Failure registering capabilities with the kernel
39,selinux_register_security: Registering secondary module capability,E6,selinux_register_security: Registering secondary module capability
40,Capability LSM initialized,E180,Capability LSM initialized
41,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",E42,Dentry cache hash table entries: <*> (order: <*> bytes)
42,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",E44,Inode-cache hash table entries: <*> (order: <*> bytes)
43,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",E43,Mount-cache hash table entries: <*> (order: <*> bytes)
44,Version 1.0.6 Starting,E289,Version <*> Starting
45,rpc.statd startup succeeded,E283,<*> startup succeeded
46,"CPU: L1 I cache: 16K, L1 D cache: 16K",E197,"CPU: L1 I cache: <*>, L1 D cache: <*>"
47,CPU: L2 cache: 256K,E313,CPU: L2 cache: <*>
48,Intel machine check architecture supported.,E54,Intel machine check architecture supported.
