EventId,EventTemplate,Occurrences
E265,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,1019
E246,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,1019
E396,AirPort: Link Down on <*>. Reason <*> (Unspecified).,532
E294,"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",442
E358,Bluetooth -- LE is supported - Disable LE meta event,532
E242,"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Updated <*> from UserClient Seq <*>, Ack <*>, Win size <*>",440
E300,ARPT: <*>: <*>: leaveModulePoweredForOffloads: Wi-Fi will stay on.,531
E328,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],1063
E347,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],532
E149,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,1764
E394,AppleCamIn::systemWakeCall - messageType = <*>,2679
E180,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,532
E317,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,532
E614,Wake reason: <*>,532
E442,AppleCamIn::wakeEventHandlerThread,1064
E410,RTC: PowerByCalendarDate setting ignored,252
E576,Previous sleep cause: <*>,532
E621,TBT W (<*>): <*> [<*>],532
E251,AirPort: Link Down on <*>. Reason <*> (Disassociated because station leaving).,216
E590,<*>: channel changed to <*>,1510
E599,<*>::<*>::<*> bssid changed,600
E591,<*>: <*> country code set to <*>,448
E586,<*>: Supported channels <*>,445
E31,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,746
E395,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,262
E596,AirPort: Link Up on <*>,757
E577,"setting hostname to ""<*>""",356
E476,"USBMSC Identifier (non-unique): <*> <*> <*> <*>, <*>",532
E152,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),572
E250,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,414
E113,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",7711
E508,network changed: <*> DNS! Proxy SMB,374
E415,in6_unlink_ifa: IPv6 address <*> has no prefix,715
E229,<*>: Could not write data to client PID[<*>](<*>) because of error - aborting connection,9
E118,"<*>: DNSServiceCreateConnection: <*> registered records, <*> kDNSServiceFlagsShareConnection operation PID[<*>](<*>)",9
E440,-> DNSServiceGetAddrInfo <*> v4v6 <*>. PID[<*>](),4
E468,-[NETClientConnection <*>] <*> - Perform <*>! <*> <*> <*>,483
E354,Saw change in network reachability (isReachable=<*>),362
E523,network changed: <*> DNS- Proxy-,180
E457,Captive: CNPluginHandler <*>: Inactive,181
E184,[<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.,222
E224,<*>[NETClientConnection evaluateCrazyIvan46]_block_invoke <*> - Hit by torpedo! <*> <*> <*>,449
E91,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,780
E92,<*>[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,503
E493,[<*>(<*>)] Failed to read DnsConfig.,185
E581,"PM response took <*> ms (<*>, <*>)",685
E241,"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>",388
E580,<*> : BTLE scanner Powered <*>,528
E193,"network_reachability_changed : network is not reachable, netbiosd is shutting down",179
E11,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*> confidence=<*> from=(<*>)/(<*>) (<*> #<*>),533
E175,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,1070
E174,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",535
